"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"O298X3","Other complications of anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O298X9","Other complications of anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2990","Unspecified complication of anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2991","Unspecified complication of anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O2992","Unspecified complication of anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O2993","Unspecified complication of anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O30001","Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester",196,"Other pregnancy and delivery including normal"
"O30002","Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester",196,"Other pregnancy and delivery including normal"
"O30003","Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester",196,"Other pregnancy and delivery including normal"
"O30009","Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30011","Twin pregnancy, monochorionic/monoamniotic, first trimester",196,"Other pregnancy and delivery including normal"
"O30012","Twin pregnancy, monochorionic/monoamniotic, second trimester",196,"Other pregnancy and delivery including normal"
"O30013","Twin pregnancy, monochorionic/monoamniotic, third trimester",196,"Other pregnancy and delivery including normal"
"O30019","Twin pregnancy, monochorionic/monoamniotic, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30021","Conjoined twin pregnancy, first trimester",188,"Fetopelvic disproportion; obstruction"
"O30022","Conjoined twin pregnancy, second trimester",188,"Fetopelvic disproportion; obstruction"
"O30023","Conjoined twin pregnancy, third trimester",188,"Fetopelvic disproportion; obstruction"
"O30029","Conjoined twin pregnancy, unspecified trimester",188,"Fetopelvic disproportion; obstruction"
"O30031","Twin pregnancy, monochorionic/diamniotic, first trimester",196,"Other pregnancy and delivery including normal"
"O30032","Twin pregnancy, monochorionic/diamniotic, second trimester",196,"Other pregnancy and delivery including normal"
"O30033","Twin pregnancy, monochorionic/diamniotic, third trimester",196,"Other pregnancy and delivery including normal"
"O30039","Twin pregnancy, monochorionic/diamniotic, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30041","Twin pregnancy, dichorionic/diamniotic, first trimester",196,"Other pregnancy and delivery including normal"
"O30042","Twin pregnancy, dichorionic/diamniotic, second trimester",196,"Other pregnancy and delivery including normal"
"O30043","Twin pregnancy, dichorionic/diamniotic, third trimester",196,"Other pregnancy and delivery including normal"
"O30049","Twin pregnancy, dichorionic/diamniotic, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30091","Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester",196,"Other pregnancy and delivery including normal"
"O30092","Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester",196,"Other pregnancy and delivery including normal"
"O30093","Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester",196,"Other pregnancy and delivery including normal"
"O30099","Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30101","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester",196,"Other pregnancy and delivery including normal"
"O30102","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester",196,"Other pregnancy and delivery including normal"
"O30103","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester",196,"Other pregnancy and delivery including normal"
"O30109","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30111","Triplet pregnancy with two or more monochorionic fetuses, first trimester",196,"Other pregnancy and delivery including normal"
"O30112","Triplet pregnancy with two or more monochorionic fetuses, second trimester",196,"Other pregnancy and delivery including normal"
"O30113","Triplet pregnancy with two or more monochorionic fetuses, third trimester",196,"Other pregnancy and delivery including normal"
"O30119","Triplet pregnancy with two or more monochorionic fetuses, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30121","Triplet pregnancy with two or more monoamniotic fetuses, first trimester",196,"Other pregnancy and delivery including normal"
"O30122","Triplet pregnancy with two or more monoamniotic fetuses, second trimester",196,"Other pregnancy and delivery including normal"
"O30123","Triplet pregnancy with two or more monoamniotic fetuses, third trimester",196,"Other pregnancy and delivery including normal"
"O30129","Triplet pregnancy with two or more monoamniotic fetuses, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30131","Triplet pregnancy, trichorionic/triamniotic, first trimester",196,"Other pregnancy and delivery including normal"
"O30132","Triplet pregnancy, trichorionic/triamniotic, second trimester",196,"Other pregnancy and delivery including normal"
"O30133","Triplet pregnancy, trichorionic/triamniotic, third trimester",196,"Other pregnancy and delivery including normal"
"O30139","Triplet pregnancy, trichorionic/triamniotic, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30191","Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester",196,"Other pregnancy and delivery including normal"
"O30192","Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester",196,"Other pregnancy and delivery including normal"
"O30193","Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester",196,"Other pregnancy and delivery including normal"
"O30199","Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30201","Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester",196,"Other pregnancy and delivery including normal"
"O30202","Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester",196,"Other pregnancy and delivery including normal"
"O30203","Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester",196,"Other pregnancy and delivery including normal"
"O30209","Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30211","Quadruplet pregnancy with two or more monochorionic fetuses, first trimester",196,"Other pregnancy and delivery including normal"
"O30212","Quadruplet pregnancy with two or more monochorionic fetuses, second trimester",196,"Other pregnancy and delivery including normal"
"O30213","Quadruplet pregnancy with two or more monochorionic fetuses, third trimester",196,"Other pregnancy and delivery including normal"
"O30219","Quadruplet pregnancy with two or more monochorionic fetuses, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30221","Quadruplet pregnancy with two or more monoamniotic fetuses, first trimester",196,"Other pregnancy and delivery including normal"
"O30222","Quadruplet pregnancy with two or more monoamniotic fetuses, second trimester",196,"Other pregnancy and delivery including normal"
"O30223","Quadruplet pregnancy with two or more monoamniotic fetuses, third trimester",196,"Other pregnancy and delivery including normal"
"O30229","Quadruplet pregnancy with two or more monoamniotic fetuses, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30231","Quadruplet pregnancy, quadrachorionic/quadra-amniotic, first trimester",196,"Other pregnancy and delivery including normal"
"O30232","Quadruplet pregnancy, quadrachorionic/quadra-amniotic, second trimester",196,"Other pregnancy and delivery including normal"
"O30233","Quadruplet pregnancy, quadrachorionic/quadra-amniotic, third trimester",196,"Other pregnancy and delivery including normal"
"O30239","Quadruplet pregnancy, quadrachorionic/quadra-amniotic, unspecified trimester",196,"Other pregnancy and delivery including normal"
"O30291","Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester",196,"Other pregnancy and delivery including normal"
"O30292","Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester",196,"Other pregnancy and delivery including normal"
"O30293","Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester",196,"Other pregnancy and delivery including normal"
"O30299","Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester",196,"Other pregnancy and delivery including normal"
