"icd_10_cm","valid_flag","short_description","long_description"
"H9319",1,"Tinnitus, unspecified ear","Tinnitus, unspecified ear"
"H93A",0,"Pulsatile tinnitus","Pulsatile tinnitus"
"H93A1",1,"Pulsatile tinnitus, right ear","Pulsatile tinnitus, right ear"
"H93A2",1,"Pulsatile tinnitus, left ear","Pulsatile tinnitus, left ear"
"H93A3",1,"Pulsatile tinnitus, bilateral","Pulsatile tinnitus, bilateral"
"H93A9",1,"Pulsatile tinnitus, unspecified ear","Pulsatile tinnitus, unspecified ear"
"H932",0,"Other abnormal auditory perceptions","Other abnormal auditory perceptions"
"H9321",0,"Auditory recruitment","Auditory recruitment"
"H93211",1,"Auditory recruitment, right ear","Auditory recruitment, right ear"
"H93212",1,"Auditory recruitment, left ear","Auditory recruitment, left ear"
"H93213",1,"Auditory recruitment, bilateral","Auditory recruitment, bilateral"
"H93219",1,"Auditory recruitment, unspecified ear","Auditory recruitment, unspecified ear"
"H9322",0,"Diplacusis","Diplacusis"
"H93221",1,"Diplacusis, right ear","Diplacusis, right ear"
"H93222",1,"Diplacusis, left ear","Diplacusis, left ear"
"H93223",1,"Diplacusis, bilateral","Diplacusis, bilateral"
"H93229",1,"Diplacusis, unspecified ear","Diplacusis, unspecified ear"
"H9323",0,"Hyperacusis","Hyperacusis"
"H93231",1,"Hyperacusis, right ear","Hyperacusis, right ear"
"H93232",1,"Hyperacusis, left ear","Hyperacusis, left ear"
"H93233",1,"Hyperacusis, bilateral","Hyperacusis, bilateral"
"H93239",1,"Hyperacusis, unspecified ear","Hyperacusis, unspecified ear"
"H9324",0,"Temporary auditory threshold shift","Temporary auditory threshold shift"
"H93241",1,"Temporary auditory threshold shift, right ear","Temporary auditory threshold shift, right ear"
"H93242",1,"Temporary auditory threshold shift, left ear","Temporary auditory threshold shift, left ear"
"H93243",1,"Temporary auditory threshold shift, bilateral","Temporary auditory threshold shift, bilateral"
"H93249",1,"Temporary auditory threshold shift, unspecified ear","Temporary auditory threshold shift, unspecified ear"
"H9325",1,"Central auditory processing disorder","Central auditory processing disorder"
"H9329",0,"Other abnormal auditory perceptions","Other abnormal auditory perceptions"
"H93291",1,"Other abnormal auditory perceptions, right ear","Other abnormal auditory perceptions, right ear"
"H93292",1,"Other abnormal auditory perceptions, left ear","Other abnormal auditory perceptions, left ear"
"H93293",1,"Other abnormal auditory perceptions, bilateral","Other abnormal auditory perceptions, bilateral"
"H93299",1,"Other abnormal auditory perceptions, unspecified ear","Other abnormal auditory perceptions, unspecified ear"
"H933",0,"Disorders of acoustic nerve","Disorders of acoustic nerve"
"H933X",0,"Disorders of acoustic nerve","Disorders of acoustic nerve"
"H933X1",1,"Disorders of right acoustic nerve","Disorders of right acoustic nerve"
"H933X2",1,"Disorders of left acoustic nerve","Disorders of left acoustic nerve"
"H933X3",1,"Disorders of bilateral acoustic nerves","Disorders of bilateral acoustic nerves"
"H933X9",1,"Disorders of unspecified acoustic nerve","Disorders of unspecified acoustic nerve"
"H938",0,"Other specified disorders of ear","Other specified disorders of ear"
"H938X",0,"Other specified disorders of ear","Other specified disorders of ear"
"H938X1",1,"Other specified disorders of right ear","Other specified disorders of right ear"
"H938X2",1,"Other specified disorders of left ear","Other specified disorders of left ear"
"H938X3",1,"Other specified disorders of ear, bilateral","Other specified disorders of ear, bilateral"
"H938X9",1,"Other specified disorders of ear, unspecified ear","Other specified disorders of ear, unspecified ear"
