"icd_10_cm","valid_flag","short_description","long_description"
"H939",0,"Unspecified disorder of ear","Unspecified disorder of ear"
"H9390",1,"Unspecified disorder of ear, unspecified ear","Unspecified disorder of ear, unspecified ear"
"H9391",1,"Unspecified disorder of right ear","Unspecified disorder of right ear"
"H9392",1,"Unspecified disorder of left ear","Unspecified disorder of left ear"
"H9393",1,"Unspecified disorder of ear, bilateral","Unspecified disorder of ear, bilateral"
"H94",0,"Other disorders of ear in diseases classified elsewhere","Other disorders of ear in diseases classified elsewhere"
"H940",0,"Acoustic neuritis in infec/parastc diseases classd elswhr","Acoustic neuritis in infectious and parasitic diseases classified elsewhere"
"H9400",1,"Acustc neuritis in infec/parastc dis classd elswhr, unsp ear","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, unspecified ear"
"H9401",1,"Acustc neuritis in infec/parastc dis classd elswhr, r ear","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, right ear"
"H9402",1,"Acustc neuritis in infec/parastc dis classd elswhr, left ear","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, left ear"
"H9403",1,"Acustc neuritis in infec/parastc diseases classd elswhr, bi","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, bilateral"
"H948",0,"Oth disrd of ear in diseases classified elsewhere","Other specified disorders of ear in diseases classified elsewhere"
"H9480",1,"Oth disrd of ear in diseases classified elsewhere, unsp ear","Other specified disorders of ear in diseases classified elsewhere, unspecified ear"
"H9481",1,"Oth disrd of right ear in diseases classified elsewhere","Other specified disorders of right ear in diseases classified elsewhere"
"H9482",1,"Oth disrd of left ear in diseases classified elsewhere","Other specified disorders of left ear in diseases classified elsewhere"
"H9483",1,"Oth disrd of ear in diseases classified elsewhere, bilateral","Other specified disorders of ear in diseases classified elsewhere, bilateral"
"H95",0,"Intraop and postproc comp and disorders of ear/mastd, NEC","Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified"
"H950",0,"Recurrent cholesteatoma of postmastoidectomy cavity","Recurrent cholesteatoma of postmastoidectomy cavity"
"H9500",1,"Recur cholesteatoma of postmastoidectomy cavity, unsp ear","Recurrent cholesteatoma of postmastoidectomy cavity, unspecified ear"
"H9501",1,"Recur cholesteatoma of postmastoidectomy cavity, right ear","Recurrent cholesteatoma of postmastoidectomy cavity, right ear"
"H9502",1,"Recur cholesteatoma of postmastoidectomy cavity, left ear","Recurrent cholesteatoma of postmastoidectomy cavity, left ear"
"H9503",1,"Recurrent cholesteatoma of postmastoidectomy cavity, bi ears","Recurrent cholesteatoma of postmastoidectomy cavity, bilateral ears"
"H951",0,"Oth disorders of ear/mastd following mastoidectomy","Other disorders of ear and mastoid process following mastoidectomy"
"H9511",0,"Chronic inflammation of postmastoidectomy cavity","Chronic inflammation of postmastoidectomy cavity"
"H95111",1,"Chronic inflammation of postmastoidectomy cavity, right ear","Chronic inflammation of postmastoidectomy cavity, right ear"
"H95112",1,"Chronic inflammation of postmastoidectomy cavity, left ear","Chronic inflammation of postmastoidectomy cavity, left ear"
"H95113",1,"Chronic inflam of postmastoidectomy cavity, bilateral ears","Chronic inflammation of postmastoidectomy cavity, bilateral ears"
"H95119",1,"Chronic inflammation of postmastoidectomy cavity, unsp ear","Chronic inflammation of postmastoidectomy cavity, unspecified ear"
"H9512",0,"Granulation of postmastoidectomy cavity","Granulation of postmastoidectomy cavity"
"H95121",1,"Granulation of postmastoidectomy cavity, right ear","Granulation of postmastoidectomy cavity, right ear"
"H95122",1,"Granulation of postmastoidectomy cavity, left ear","Granulation of postmastoidectomy cavity, left ear"
"H95123",1,"Granulation of postmastoidectomy cavity, bilateral ears","Granulation of postmastoidectomy cavity, bilateral ears"
"H95129",1,"Granulation of postmastoidectomy cavity, unspecified ear","Granulation of postmastoidectomy cavity, unspecified ear"
"H9513",0,"Mucosal cyst of postmastoidectomy cavity","Mucosal cyst of postmastoidectomy cavity"
"H95131",1,"Mucosal cyst of postmastoidectomy cavity, right ear","Mucosal cyst of postmastoidectomy cavity, right ear"
"H95132",1,"Mucosal cyst of postmastoidectomy cavity, left ear","Mucosal cyst of postmastoidectomy cavity, left ear"
"H95133",1,"Mucosal cyst of postmastoidectomy cavity, bilateral ears","Mucosal cyst of postmastoidectomy cavity, bilateral ears"
